candidate,sign,train_auc,heldout_run
tail_total_b2,1.0,0.4844806435604219,31
tail_total_b2,-1.0,0.5155193564395781,31
area_peak_b2,1.0,0.47594624135703567,31
area_peak_b2,-1.0,0.5240537586429643,31
q_template_b2_shape,1.0,0.5018996634547995,31
q_template_b2_shape,-1.0,0.4981003365452005,31
penetration_depth_proxy,1.0,0.5001117015644716,31
penetration_depth_proxy,-1.0,0.4998882984355284,31
deltae_amp_vector,1.0,0.8728290298116664,31
deltae_amp_vector,-1.0,0.12717097018833343,31
downstream_charge_fraction,1.0,0.9204653336898208,31
downstream_charge_fraction,-1.0,0.07953466631017923,31
tail_total_b2,1.0,0.48461066281153226,32
tail_total_b2,-1.0,0.5153893371884678,32
area_peak_b2,1.0,0.47546466262941395,32
area_peak_b2,-1.0,0.5245353373705861,32
q_template_b2_shape,1.0,0.5022179605031654,32
q_template_b2_shape,-1.0,0.49778203949683464,32
penetration_depth_proxy,1.0,0.5001117015644716,32
penetration_depth_proxy,-1.0,0.4998882984355284,32
deltae_amp_vector,1.0,0.8731625077076985,32
deltae_amp_vector,-1.0,0.12683749229230146,32
downstream_charge_fraction,1.0,0.920788700534177,32
downstream_charge_fraction,-1.0,0.07921129946582305,32
tail_total_b2,1.0,0.48492161721780347,33
tail_total_b2,-1.0,0.5150783827821965,33
area_peak_b2,1.0,0.47670338970192316,33
area_peak_b2,-1.0,0.5232966102980767,33
q_template_b2_shape,1.0,0.5019781648608818,33
q_template_b2_shape,-1.0,0.4980218351391182,33
penetration_depth_proxy,1.0,0.5001471693798187,33
penetration_depth_proxy,-1.0,0.49985283062018115,33
deltae_amp_vector,1.0,0.8725466105212101,33
deltae_amp_vector,-1.0,0.1274533894787899,33
downstream_charge_fraction,1.0,0.9205098254306818,33
downstream_charge_fraction,-1.0,0.07949017456931798,33
tail_total_b2,1.0,0.484484325259762,34
tail_total_b2,-1.0,0.5155156747402381,34
area_peak_b2,1.0,0.4766050813241979,34
area_peak_b2,-1.0,0.523394918675802,34
q_template_b2_shape,1.0,0.5037972097378856,34
q_template_b2_shape,-1.0,0.49620279026211433,34
penetration_depth_proxy,1.0,0.5001117015644716,34
penetration_depth_proxy,-1.0,0.4998882984355284,34
deltae_amp_vector,1.0,0.872224891230822,34
deltae_amp_vector,-1.0,0.12777510876917786,34
downstream_charge_fraction,1.0,0.920307760071557,34
downstream_charge_fraction,-1.0,0.07969223992844292,34
tail_total_b2,1.0,0.48476971793108065,35
tail_total_b2,-1.0,0.5152302820689193,35
area_peak_b2,1.0,0.4766873941582791,35
area_peak_b2,-1.0,0.5233126058417209,35
q_template_b2_shape,1.0,0.5025486803679089,35
q_template_b2_shape,-1.0,0.4974513196320911,35
penetration_depth_proxy,1.0,0.5001117015644716,35
penetration_depth_proxy,-1.0,0.4998882984355284,35
deltae_amp_vector,1.0,0.8725917612836587,35
deltae_amp_vector,-1.0,0.12740823871634135,35
downstream_charge_fraction,1.0,0.920717318636896,35
downstream_charge_fraction,-1.0,0.07928268136310405,35
tail_total_b2,1.0,0.4823150233819822,36
tail_total_b2,-1.0,0.5176849766180178,36
area_peak_b2,1.0,0.47510550105349014,36
area_peak_b2,-1.0,0.5248944989465099,36
q_template_b2_shape,1.0,0.5016301962736491,36
q_template_b2_shape,-1.0,0.49836980372635087,36
penetration_depth_proxy,1.0,0.5001117015644716,36
penetration_depth_proxy,-1.0,0.4998882984355284,36
deltae_amp_vector,1.0,0.8735992807511044,36
deltae_amp_vector,-1.0,0.12640071924889557,36
downstream_charge_fraction,1.0,0.9211907400264452,36
downstream_charge_fraction,-1.0,0.07880925997355487,36
tail_total_b2,1.0,0.4839185033356144,37
tail_total_b2,-1.0,0.5160814966643855,37
area_peak_b2,1.0,0.4768105300067473,37
area_peak_b2,-1.0,0.5231894699932527,37
q_template_b2_shape,1.0,0.5015923829641488,37
q_template_b2_shape,-1.0,0.4984076170358513,37
penetration_depth_proxy,1.0,0.5001117015644716,37
penetration_depth_proxy,-1.0,0.4998882984355284,37
deltae_amp_vector,1.0,0.873077016521474,37
deltae_amp_vector,-1.0,0.12692298347852599,37
downstream_charge_fraction,1.0,0.9212255228744732,37
downstream_charge_fraction,-1.0,0.07877447712552677,37
tail_total_b2,1.0,0.4852140308041427,39
tail_total_b2,-1.0,0.5147859691958574,39
area_peak_b2,1.0,0.4764692787694732,39
area_peak_b2,-1.0,0.5235307212305267,39
q_template_b2_shape,1.0,0.5020004366770442,39
q_template_b2_shape,-1.0,0.4979995633229558,39
penetration_depth_proxy,1.0,0.5001117015644716,39
penetration_depth_proxy,-1.0,0.4998882984355284,39
deltae_amp_vector,1.0,0.8729738407244663,39
deltae_amp_vector,-1.0,0.12702615927553373,39
downstream_charge_fraction,1.0,0.9211356390758578,39
downstream_charge_fraction,-1.0,0.07886436092414212,39
tail_total_b2,1.0,0.4839377317174387,40
tail_total_b2,-1.0,0.5160622682825613,40
area_peak_b2,1.0,0.4764687053688008,40
area_peak_b2,-1.0,0.5235312946311992,40
q_template_b2_shape,1.0,0.5021742419451112,40
q_template_b2_shape,-1.0,0.49782575805488877,40
penetration_depth_proxy,1.0,0.5001117015644716,40
penetration_depth_proxy,-1.0,0.4998882984355284,40
deltae_amp_vector,1.0,0.8732591944771875,40
deltae_amp_vector,-1.0,0.12674080552281264,40
downstream_charge_fraction,1.0,0.9215378887285535,40
downstream_charge_fraction,-1.0,0.0784621112714465,40
tail_total_b2,1.0,0.48411183276684805,41
tail_total_b2,-1.0,0.5158881672331519,41
area_peak_b2,1.0,0.47693662366863887,41
area_peak_b2,-1.0,0.5230633763313611,41
q_template_b2_shape,1.0,0.5018790314088859,41
q_template_b2_shape,-1.0,0.4981209685911142,41
penetration_depth_proxy,1.0,0.5001117015644716,41
penetration_depth_proxy,-1.0,0.4998882984355284,41
deltae_amp_vector,1.0,0.8724607586893137,41
deltae_amp_vector,-1.0,0.1275392413106862,41
downstream_charge_fraction,1.0,0.9208334621106488,41
downstream_charge_fraction,-1.0,0.07916653788935125,41
tail_total_b2,1.0,0.48500694754049095,42
tail_total_b2,-1.0,0.5149930524595091,42
area_peak_b2,1.0,0.47606799170342673,42
area_peak_b2,-1.0,0.5239320082965733,42
q_template_b2_shape,1.0,0.5024882735151719,42
q_template_b2_shape,-1.0,0.497511726484828,42
penetration_depth_proxy,1.0,0.5001117015644716,42
penetration_depth_proxy,-1.0,0.4998882984355284,42
deltae_amp_vector,1.0,0.8726535276927411,42
deltae_amp_vector,-1.0,0.12734647230725907,42
downstream_charge_fraction,1.0,0.9205717708653137,42
downstream_charge_fraction,-1.0,0.0794282291346864,42
tail_total_b2,1.0,0.4838082267056999,44
tail_total_b2,-1.0,0.5161917732943,44
area_peak_b2,1.0,0.4765255288384993,44
area_peak_b2,-1.0,0.5234744711615007,44
q_template_b2_shape,1.0,0.5024363214687912,44
q_template_b2_shape,-1.0,0.49756367853120875,44
penetration_depth_proxy,1.0,0.5001109997084281,44
penetration_depth_proxy,-1.0,0.49988900029157196,44
deltae_amp_vector,1.0,0.8730165539839483,44
deltae_amp_vector,-1.0,0.12698344601605163,44
downstream_charge_fraction,1.0,0.9209437249701834,44
downstream_charge_fraction,-1.0,0.07905627502981655,44
tail_total_b2,1.0,0.48551383114032054,45
tail_total_b2,-1.0,0.5144861688596795,45
area_peak_b2,1.0,0.4770829524067479,45
area_peak_b2,-1.0,0.5229170475932521,45
q_template_b2_shape,1.0,0.5015369784484996,45
q_template_b2_shape,-1.0,0.49846302155150035,45
penetration_depth_proxy,1.0,0.5001117015644716,45
penetration_depth_proxy,-1.0,0.4998882984355284,45
deltae_amp_vector,1.0,0.872585147716627,45
deltae_amp_vector,-1.0,0.12741485228337282,45
downstream_charge_fraction,1.0,0.9208134890863223,45
downstream_charge_fraction,-1.0,0.0791865109136777,45
tail_total_b2,1.0,0.4845683854211336,46
tail_total_b2,-1.0,0.5154316145788664,46
area_peak_b2,1.0,0.47640893381282307,46
area_peak_b2,-1.0,0.5235910661871769,46
q_template_b2_shape,1.0,0.5022342584010846,46
q_template_b2_shape,-1.0,0.49776574159891535,46
penetration_depth_proxy,1.0,0.5001082158104004,46
penetration_depth_proxy,-1.0,0.49989178418959956,46
deltae_amp_vector,1.0,0.8737213236093393,46
deltae_amp_vector,-1.0,0.12627867639066076,46
downstream_charge_fraction,1.0,0.9215708262609328,46
downstream_charge_fraction,-1.0,0.07842917373906719,46
tail_total_b2,1.0,0.485236460889269,47
tail_total_b2,-1.0,0.514763539110731,47
area_peak_b2,1.0,0.47636024442622893,47
area_peak_b2,-1.0,0.5236397555737711,47
q_template_b2_shape,1.0,0.5021096163163865,47
q_template_b2_shape,-1.0,0.4978903836836135,47
penetration_depth_proxy,1.0,0.5001117015644716,47
penetration_depth_proxy,-1.0,0.4998882984355284,47
deltae_amp_vector,1.0,0.8725692196318857,47
deltae_amp_vector,-1.0,0.1274307803681143,47
downstream_charge_fraction,1.0,0.9201816378693606,47
downstream_charge_fraction,-1.0,0.07981836213063942,47
tail_total_b2,1.0,0.48665652527578185,48
tail_total_b2,-1.0,0.5133434747242182,48
area_peak_b2,1.0,0.4761049799386564,48
area_peak_b2,-1.0,0.5238950200613436,48
q_template_b2_shape,1.0,0.5022563965102286,48
q_template_b2_shape,-1.0,0.4977436034897715,48
penetration_depth_proxy,1.0,0.5001117015644716,48
penetration_depth_proxy,-1.0,0.4998882984355284,48
deltae_amp_vector,1.0,0.8722414108782482,48
deltae_amp_vector,-1.0,0.12775858912175173,48
downstream_charge_fraction,1.0,0.9207618518909282,48
downstream_charge_fraction,-1.0,0.07923814810907197,48
tail_total_b2,1.0,0.48530665187746114,49
tail_total_b2,-1.0,0.5146933481225389,49
area_peak_b2,1.0,0.4758241589052778,49
area_peak_b2,-1.0,0.5241758410947223,49
q_template_b2_shape,1.0,0.501805729527453,49
q_template_b2_shape,-1.0,0.4981942704725471,49
penetration_depth_proxy,1.0,0.5001117015644716,49
penetration_depth_proxy,-1.0,0.4998882984355284,49
deltae_amp_vector,1.0,0.8727519346642469,49
deltae_amp_vector,-1.0,0.12724806533575303,49
downstream_charge_fraction,1.0,0.9209360722907036,49
downstream_charge_fraction,-1.0,0.07906392770929638,49
tail_total_b2,1.0,0.48440034670970034,50
tail_total_b2,-1.0,0.5155996532902997,50
area_peak_b2,1.0,0.4767817899196515,50
area_peak_b2,-1.0,0.5232182100803484,50
q_template_b2_shape,1.0,0.502654933328706,50
q_template_b2_shape,-1.0,0.49734506667129397,50
penetration_depth_proxy,1.0,0.5001117015644716,50
penetration_depth_proxy,-1.0,0.4998882984355284,50
deltae_amp_vector,1.0,0.8730235371791232,50
deltae_amp_vector,-1.0,0.12697646282087685,50
downstream_charge_fraction,1.0,0.9203636316103783,50
downstream_charge_fraction,-1.0,0.07963636838962171,50
tail_total_b2,1.0,0.4840425135552438,51
tail_total_b2,-1.0,0.5159574864447563,51
area_peak_b2,1.0,0.47593846282664715,51
area_peak_b2,-1.0,0.5240615371733528,51
q_template_b2_shape,1.0,0.5025787255253134,51
q_template_b2_shape,-1.0,0.49742127447468665,51
penetration_depth_proxy,1.0,0.5001117015644716,51
penetration_depth_proxy,-1.0,0.4998882984355284,51
deltae_amp_vector,1.0,0.872583920483514,51
deltae_amp_vector,-1.0,0.12741607951648615,51
downstream_charge_fraction,1.0,0.9203361758370057,51
downstream_charge_fraction,-1.0,0.07966382416299433,51
tail_total_b2,1.0,0.4846565115141657,52
tail_total_b2,-1.0,0.5153434884858343,52
area_peak_b2,1.0,0.47678562729338214,52
area_peak_b2,-1.0,0.5232143727066179,52
q_template_b2_shape,1.0,0.5019399416088193,52
q_template_b2_shape,-1.0,0.4980600583911807,52
penetration_depth_proxy,1.0,0.5001117015644716,52
penetration_depth_proxy,-1.0,0.4998882984355284,52
deltae_amp_vector,1.0,0.8722296496780313,52
deltae_amp_vector,-1.0,0.12777035032196887,52
downstream_charge_fraction,1.0,0.9200927841162969,52
downstream_charge_fraction,-1.0,0.07990721588370302,52
tail_total_b2,1.0,0.4847905030568119,53
tail_total_b2,-1.0,0.515209496943188,53
area_peak_b2,1.0,0.4774287467416572,53
area_peak_b2,-1.0,0.5225712532583429,53
q_template_b2_shape,1.0,0.502583551431425,53
q_template_b2_shape,-1.0,0.49741644856857503,53
penetration_depth_proxy,1.0,0.5001117015644716,53
penetration_depth_proxy,-1.0,0.4998882984355284,53
deltae_amp_vector,1.0,0.872341950588907,53
deltae_amp_vector,-1.0,0.1276580494110931,53
downstream_charge_fraction,1.0,0.9204479708061115,53
downstream_charge_fraction,-1.0,0.07955202919388833,53
tail_total_b2,1.0,0.48428131807057323,54
tail_total_b2,-1.0,0.5157186819294267,54
area_peak_b2,1.0,0.47669814088038354,54
area_peak_b2,-1.0,0.5233018591196166,54
q_template_b2_shape,1.0,0.502843916849866,54
q_template_b2_shape,-1.0,0.497156083150134,54
penetration_depth_proxy,1.0,0.5001117015644716,54
penetration_depth_proxy,-1.0,0.4998882984355284,54
deltae_amp_vector,1.0,0.8720391094129643,54
deltae_amp_vector,-1.0,0.12796089058703589,54
downstream_charge_fraction,1.0,0.9201461934051719,54
downstream_charge_fraction,-1.0,0.07985380659482799,54
tail_total_b2,1.0,0.483938943383113,55
tail_total_b2,-1.0,0.5160610566168871,55
area_peak_b2,1.0,0.47587789511037326,55
area_peak_b2,-1.0,0.5241221048896267,55
q_template_b2_shape,1.0,0.5016419081769758,55
q_template_b2_shape,-1.0,0.4983580918230241,55
penetration_depth_proxy,1.0,0.5001117015644716,55
penetration_depth_proxy,-1.0,0.4998882984355284,55
deltae_amp_vector,1.0,0.8722192584124522,55
deltae_amp_vector,-1.0,0.12778074158754793,55
downstream_charge_fraction,1.0,0.9202518418304187,55
downstream_charge_fraction,-1.0,0.07974815816958133,55
tail_total_b2,1.0,0.485114056710437,56
tail_total_b2,-1.0,0.5148859432895629,56
area_peak_b2,1.0,0.4763829547252585,56
area_peak_b2,-1.0,0.5236170452747415,56
q_template_b2_shape,1.0,0.5016960154060358,56
q_template_b2_shape,-1.0,0.4983039845939642,56
penetration_depth_proxy,1.0,0.5001116989698984,56
penetration_depth_proxy,-1.0,0.4998883010301016,56
deltae_amp_vector,1.0,0.8722193077093425,56
deltae_amp_vector,-1.0,0.12778069229065753,56
downstream_charge_fraction,1.0,0.9201629258075987,56
downstream_charge_fraction,-1.0,0.07983707419240121,56
tail_total_b2,1.0,0.4852705457971121,57
tail_total_b2,-1.0,0.5147294542028878,57
area_peak_b2,1.0,0.4769508808482536,57
area_peak_b2,-1.0,0.5230491191517465,57
q_template_b2_shape,1.0,0.5020702929652964,57
q_template_b2_shape,-1.0,0.49792970703470363,57
penetration_depth_proxy,1.0,0.5001117015644716,57
penetration_depth_proxy,-1.0,0.4998882984355284,57
deltae_amp_vector,1.0,0.8728869744144574,57
deltae_amp_vector,-1.0,0.12711302558554277,57
downstream_charge_fraction,1.0,0.920603152227905,57
downstream_charge_fraction,-1.0,0.07939684777209502,57
tail_total_b2,1.0,0.48567826999921393,58
tail_total_b2,-1.0,0.5143217300007861,58
area_peak_b2,1.0,0.47716752770864046,58
area_peak_b2,-1.0,0.5228324722913595,58
q_template_b2_shape,1.0,0.5024534491539729,58
q_template_b2_shape,-1.0,0.497546550846027,58
penetration_depth_proxy,1.0,0.5001117015644716,58
penetration_depth_proxy,-1.0,0.4998882984355284,58
deltae_amp_vector,1.0,0.8720204466480925,58
deltae_amp_vector,-1.0,0.1279795533519073,58
downstream_charge_fraction,1.0,0.9198119838395039,58
downstream_charge_fraction,-1.0,0.08018801616049623,58
tail_total_b2,1.0,0.48549393335861624,59
tail_total_b2,-1.0,0.5145060666413838,59
area_peak_b2,1.0,0.47571610271612164,59
area_peak_b2,-1.0,0.5242838972838784,59
q_template_b2_shape,1.0,0.5020747089288458,59
q_template_b2_shape,-1.0,0.4979252910711542,59
penetration_depth_proxy,1.0,0.49974918520542827,59
penetration_depth_proxy,-1.0,0.5002508147945717,59
deltae_amp_vector,1.0,0.8780738479249257,59
deltae_amp_vector,-1.0,0.12192615207507425,59
downstream_charge_fraction,1.0,0.9257830307690849,59
downstream_charge_fraction,-1.0,0.07421696923091517,59
tail_total_b2,1.0,0.48511427465458395,60
tail_total_b2,-1.0,0.514885725345416,60
area_peak_b2,1.0,0.47523680721289685,60
area_peak_b2,-1.0,0.5247631927871031,60
q_template_b2_shape,1.0,0.5018940695550271,60
q_template_b2_shape,-1.0,0.49810593044497287,60
penetration_depth_proxy,1.0,0.500720948859904,60
penetration_depth_proxy,-1.0,0.4992790511400959,60
deltae_amp_vector,1.0,0.8816747652290081,60
deltae_amp_vector,-1.0,0.11832523477099186,60
downstream_charge_fraction,1.0,0.9300724206605987,60
downstream_charge_fraction,-1.0,0.06992757933940133,60
tail_total_b2,1.0,0.4844716559589324,61
tail_total_b2,-1.0,0.5155283440410676,61
area_peak_b2,1.0,0.4761348746108166,61
area_peak_b2,-1.0,0.5238651253891833,61
q_template_b2_shape,1.0,0.502440772069424,61
q_template_b2_shape,-1.0,0.49755922793057616,61
penetration_depth_proxy,1.0,0.5001797079220477,61
penetration_depth_proxy,-1.0,0.49982029207795237,61
deltae_amp_vector,1.0,0.8801734958911612,61
deltae_amp_vector,-1.0,0.11982650410883872,61
downstream_charge_fraction,1.0,0.9285817501541851,61
downstream_charge_fraction,-1.0,0.0714182498458149,61
tail_total_b2,1.0,0.4854248710097565,62
tail_total_b2,-1.0,0.5145751289902434,62
area_peak_b2,1.0,0.4763509843945556,62
area_peak_b2,-1.0,0.5236490156054444,62
q_template_b2_shape,1.0,0.5017974632173068,62
q_template_b2_shape,-1.0,0.4982025367826931,62
penetration_depth_proxy,1.0,0.5000033937017172,62
penetration_depth_proxy,-1.0,0.4999966062982828,62
deltae_amp_vector,1.0,0.8790230699276287,62
deltae_amp_vector,-1.0,0.12097693007237134,62
downstream_charge_fraction,1.0,0.9271149133969873,62
downstream_charge_fraction,-1.0,0.07288508660301272,62
tail_total_b2,1.0,0.484768659345224,63
tail_total_b2,-1.0,0.515231340654776,63
area_peak_b2,1.0,0.4771841122203961,63
area_peak_b2,-1.0,0.522815887779604,63
q_template_b2_shape,1.0,0.5022240940741589,63
q_template_b2_shape,-1.0,0.4977759059258412,63
penetration_depth_proxy,1.0,0.499969744682168,63
penetration_depth_proxy,-1.0,0.500030255317832,63
deltae_amp_vector,1.0,0.8746903247183055,63
deltae_amp_vector,-1.0,0.12530967528169437,63
downstream_charge_fraction,1.0,0.9218630562066954,63
downstream_charge_fraction,-1.0,0.0781369437933046,63
tail_total_b2,1.0,0.4846193494425331,64
tail_total_b2,-1.0,0.5153806505574668,64
area_peak_b2,1.0,0.47551419822053376,64
area_peak_b2,-1.0,0.5244858017794662,64
q_template_b2_shape,1.0,0.5009871416897036,64
q_template_b2_shape,-1.0,0.49901285831029646,64
penetration_depth_proxy,1.0,0.49989886872665673,64
penetration_depth_proxy,-1.0,0.5001011312733432,64
deltae_amp_vector,1.0,0.8742490397121427,64
deltae_amp_vector,-1.0,0.12575096028785732,64
downstream_charge_fraction,1.0,0.9209357609419222,64
downstream_charge_fraction,-1.0,0.07906423905807777,64
tail_total_b2,1.0,0.48391989921598433,65
tail_total_b2,-1.0,0.5160801007840157,65
area_peak_b2,1.0,0.4750674412595378,65
area_peak_b2,-1.0,0.5249325587404621,65
q_template_b2_shape,1.0,0.502162872525444,65
q_template_b2_shape,-1.0,0.497837127474556,65
penetration_depth_proxy,1.0,0.5001117015644716,65
penetration_depth_proxy,-1.0,0.4998882984355284,65
deltae_amp_vector,1.0,0.8758813868869566,65
deltae_amp_vector,-1.0,0.12411861311304341,65
downstream_charge_fraction,1.0,0.9222039623657369,65
downstream_charge_fraction,-1.0,0.0777960376342632,65
