heldout_run,heldout_group,method,n_scored_events,n_synthetic_train,training_policy,synthetic_train_source_runs,synthetic_holdout_auc,synthetic_holdout_ap,synthetic_holdout_brier,synthetic_secondary_fraction_mae,support_accept_fraction
44,high_20nA,ridge,652,3000,low_current_only_source_run_heldout,46 47,0.840068,0.8356005329580061,0.15523247496573703,0.1190299558019523,0.6671779141104295
44,high_20nA,gradient_boosted_trees,652,3000,low_current_only_source_run_heldout,46 47,0.9401360000000001,0.9315368572069739,0.09772486345090255,0.06855040809872927,0.6671779141104295
44,high_20nA,mlp,652,3000,low_current_only_source_run_heldout,46 47,0.9376800000000001,0.9143780044890578,0.09321086313324557,0.09585921585250161,0.6671779141104295
44,high_20nA,cnn1d,652,3000,low_current_only_source_run_heldout,46 47,0.7603200000000001,0.7896090104526279,0.20514090580601146,0.1446769223662911,0.6671779141104295
44,high_20nA,residual_tcn,652,3000,low_current_only_source_run_heldout,46 47,0.78366,0.8111851690920895,0.1914558057691014,0.13277454847313225,0.6671779141104295
44,high_20nA,shuffled_current_sentinel,652,3000,label_permuted_control,46 47,0.538722,,,,0.6671779141104295
45,high_20nA,ridge,1120,3000,low_current_only_source_run_heldout,46 47,0.776878,0.8113924071990952,0.19817980655082687,0.12578612827389443,0.4616071428571429
45,high_20nA,gradient_boosted_trees,1120,3000,low_current_only_source_run_heldout,46 47,0.9139999999999999,0.9261707715352944,0.12193718578577344,0.0849057902326214,0.4616071428571429
45,high_20nA,mlp,1120,3000,low_current_only_source_run_heldout,46 47,0.905076,0.9162969959854375,0.12067945808167603,0.10233186586656644,0.4616071428571429
45,high_20nA,cnn1d,1120,3000,low_current_only_source_run_heldout,46 47,0.75481,0.7922514301459642,0.2266755390435847,0.1315213610778072,0.4616071428571429
45,high_20nA,residual_tcn,1120,3000,low_current_only_source_run_heldout,46 47,0.6895439999999999,0.712783522175817,0.24548343140650938,0.14424064921070226,0.4616071428571429
45,high_20nA,shuffled_current_sentinel,1120,3000,label_permuted_control,46 47,0.535622,,,,0.4616071428571429
46,low_2nA,ridge,417,3000,low_current_only_source_run_heldout,47,0.9410862727816046,0.9367717842838519,0.0870679832104069,0.08939520699765505,0.9160671462829736
46,low_2nA,gradient_boosted_trees,417,3000,low_current_only_source_run_heldout,47,0.9849742527875206,0.9835252770652068,0.04729348012407776,0.04061186285744899,0.9160671462829736
46,low_2nA,mlp,417,3000,low_current_only_source_run_heldout,47,0.9773859184178595,0.9822145383154788,0.044950323393338036,0.05102731169855456,0.9160671462829736
46,low_2nA,cnn1d,417,3000,low_current_only_source_run_heldout,47,0.8663016378004094,0.893016163969061,0.14358702019467404,0.11779508725010998,0.9160671462829736
46,low_2nA,residual_tcn,417,3000,low_current_only_source_run_heldout,47,0.8596671274803953,0.8849980476579993,0.14977222608582,0.1131108074934497,0.9160671462829736
46,low_2nA,shuffled_current_sentinel,417,3000,label_permuted_control,47,0.5169001925758683,,,,0.9160671462829736
47,low_2nA,ridge,675,1332,low_current_only_source_run_heldout,46,0.8343280000000001,0.8613051536694347,0.15527118626501785,0.10301058645531194,0.6785185185185185
47,low_2nA,gradient_boosted_trees,675,1332,low_current_only_source_run_heldout,46,0.9394359999999999,0.9489968482639164,0.1005785330655054,0.0675344666866939,0.6785185185185185
47,low_2nA,mlp,675,1332,low_current_only_source_run_heldout,46,0.9273279999999999,0.9469023643658044,0.10469102476991114,0.10523845086515636,0.6785185185185185
47,low_2nA,cnn1d,675,1332,low_current_only_source_run_heldout,46,0.666976,0.7426831739797923,0.26243010959794183,0.14872810072772832,0.6785185185185185
47,low_2nA,residual_tcn,675,1332,low_current_only_source_run_heldout,46,0.690404,0.7566625026045004,0.22592046581056224,0.14835502711737036,0.6785185185185185
47,low_2nA,shuffled_current_sentinel,675,1332,label_permuted_control,46,0.492584,,,,0.6785185185185185
48,high_20nA,ridge,1086,3000,low_current_only_source_run_heldout,46 47,0.8032499999999999,0.8145871243053008,0.18082081938164685,0.12935428443848504,0.498158379373849
48,high_20nA,gradient_boosted_trees,1086,3000,low_current_only_source_run_heldout,46 47,0.9031319999999999,0.9084690881015115,0.13127155109607547,0.08534475522930637,0.498158379373849
48,high_20nA,mlp,1086,3000,low_current_only_source_run_heldout,46 47,0.8767959999999999,0.8911704159320737,0.14516056606608022,0.10641506324993423,0.498158379373849
48,high_20nA,cnn1d,1086,3000,low_current_only_source_run_heldout,46 47,0.7784439999999999,0.8278365555106202,0.1972786621439187,0.12735513565177956,0.498158379373849
48,high_20nA,residual_tcn,1086,3000,low_current_only_source_run_heldout,46 47,0.7374599999999999,0.7782162315505197,0.2026529669374891,0.1487618647245694,0.498158379373849
48,high_20nA,shuffled_current_sentinel,1086,3000,label_permuted_control,46 47,0.5119940000000001,,,,0.498158379373849
49,high_20nA,ridge,1107,3000,low_current_only_source_run_heldout,46 47,0.8043600000000001,0.8149018105463353,0.1856560904105117,0.13420982820656976,0.4561878952122855
49,high_20nA,gradient_boosted_trees,1107,3000,low_current_only_source_run_heldout,46 47,0.90933,0.911806336725089,0.12574219037110018,0.08686263593900079,0.4561878952122855
49,high_20nA,mlp,1107,3000,low_current_only_source_run_heldout,46 47,0.8652719999999999,0.8278387525175995,0.14851948705637866,0.10610124817101035,0.4561878952122855
49,high_20nA,cnn1d,1107,3000,low_current_only_source_run_heldout,46 47,0.666156,0.721049604928506,0.2320345831722023,0.14904170643287795,0.4561878952122855
49,high_20nA,residual_tcn,1107,3000,low_current_only_source_run_heldout,46 47,0.738272,0.7667944248929699,0.2216562389501407,0.1436586611290727,0.4561878952122855
49,high_20nA,shuffled_current_sentinel,1107,3000,label_permuted_control,46 47,0.5072240000000001,,,,0.4561878952122855
50,high_20nA,ridge,996,3000,low_current_only_source_run_heldout,46 47,0.8039999999999999,0.8326484934391611,0.17790904232353932,0.12360044071349686,0.48293172690763053
50,high_20nA,gradient_boosted_trees,996,3000,low_current_only_source_run_heldout,46 47,0.8981400000000002,0.9068624513024757,0.13067966906806625,0.08436380632686079,0.48293172690763053
50,high_20nA,mlp,996,3000,low_current_only_source_run_heldout,46 47,0.8645039999999999,0.8840663783791137,0.148652709248233,0.10463155358512441,0.48293172690763053
50,high_20nA,cnn1d,996,3000,low_current_only_source_run_heldout,46 47,0.7626480000000001,0.811733402980187,0.2054461085518185,0.132748321070408,0.48293172690763053
50,high_20nA,residual_tcn,996,3000,low_current_only_source_run_heldout,46 47,0.726156,0.7720210638068252,0.22394324379092848,0.13941015394321898,0.48293172690763053
50,high_20nA,shuffled_current_sentinel,996,3000,label_permuted_control,46 47,0.46810199999999996,,,,0.48293172690763053
51,high_20nA,ridge,903,3000,low_current_only_source_run_heldout,46 47,0.8171460000000002,0.8334000784951273,0.1714008163814093,0.11330720376864782,0.5282392026578073
51,high_20nA,gradient_boosted_trees,903,3000,low_current_only_source_run_heldout,46 47,0.919926,0.9137502179431929,0.11804522984646806,0.07762684674413656,0.5282392026578073
51,high_20nA,mlp,903,3000,low_current_only_source_run_heldout,46 47,0.904658,0.9240038260318858,0.11557460755603807,0.09079964410527729,0.5282392026578073
51,high_20nA,cnn1d,903,3000,low_current_only_source_run_heldout,46 47,0.7328560000000001,0.7457163927140841,0.22438842810407697,0.1412815059425077,0.5282392026578073
51,high_20nA,residual_tcn,903,3000,low_current_only_source_run_heldout,46 47,0.7713080000000001,0.7962818158483347,0.19600604365068588,0.13504311547238307,0.5282392026578073
51,high_20nA,shuffled_current_sentinel,903,3000,label_permuted_control,46 47,0.534204,,,,0.5282392026578073
52,high_20nA,ridge,703,3000,low_current_only_source_run_heldout,46 47,0.8404960000000001,0.8281412934080434,0.14903550224561143,0.11818144294615315,0.6458036984352774
52,high_20nA,gradient_boosted_trees,703,3000,low_current_only_source_run_heldout,46 47,0.9495899999999999,0.9494398926937494,0.08848935593016176,0.07097836715187439,0.6458036984352774
52,high_20nA,mlp,703,3000,low_current_only_source_run_heldout,46 47,0.9280839999999999,0.9391327878177106,0.09445761501933805,0.08992274983391797,0.6458036984352774
52,high_20nA,cnn1d,703,3000,low_current_only_source_run_heldout,46 47,0.749288,0.7908344595125164,0.20976682109112785,0.13878762739827516,0.6458036984352774
52,high_20nA,residual_tcn,703,3000,low_current_only_source_run_heldout,46 47,0.762408,0.805386659675062,0.21394085768928567,0.1316438799491531,0.6458036984352774
52,high_20nA,shuffled_current_sentinel,703,3000,label_permuted_control,46 47,0.49343,,,,0.6458036984352774
53,high_20nA,ridge,929,3000,low_current_only_source_run_heldout,46 47,0.81248,0.8214402081148706,0.1724529048848212,0.11047218487698153,0.5252960172228203
53,high_20nA,gradient_boosted_trees,929,3000,low_current_only_source_run_heldout,46 47,0.905034,0.9145238683369127,0.1295248928049112,0.07869295631469574,0.5252960172228203
53,high_20nA,mlp,929,3000,low_current_only_source_run_heldout,46 47,0.877154,0.8911992067051857,0.14805908668375217,0.0821411205800189,0.5252960172228203
53,high_20nA,cnn1d,929,3000,low_current_only_source_run_heldout,46 47,0.7386799999999999,0.7919299863862048,0.22828016340334925,0.13665139561748313,0.5252960172228203
53,high_20nA,residual_tcn,929,3000,low_current_only_source_run_heldout,46 47,0.687632,0.7277511019730681,0.24773972766831748,0.1483018874501024,0.5252960172228203
53,high_20nA,shuffled_current_sentinel,929,3000,label_permuted_control,46 47,0.486618,,,,0.5252960172228203
54,high_20nA,ridge,927,3000,low_current_only_source_run_heldout,46 47,0.8001280000000001,0.8203407068442894,0.1816767738822328,0.11819751902810482,0.49083063646170444
54,high_20nA,gradient_boosted_trees,927,3000,low_current_only_source_run_heldout,46 47,0.9058,0.9211838101747052,0.1270764007316407,0.0779894775661358,0.49083063646170444
54,high_20nA,mlp,927,3000,low_current_only_source_run_heldout,46 47,0.905004,0.9161918187567912,0.11690195067911305,0.08587998355919399,0.49083063646170444
54,high_20nA,cnn1d,927,3000,low_current_only_source_run_heldout,46 47,0.753956,0.8036858172545026,0.20296889917325317,0.13570065708635945,0.49083063646170444
54,high_20nA,residual_tcn,927,3000,low_current_only_source_run_heldout,46 47,0.752192,0.7912927824598059,0.21057037500311587,0.13876003893143513,0.49083063646170444
54,high_20nA,shuffled_current_sentinel,927,3000,label_permuted_control,46 47,0.536342,,,,0.49083063646170444
55,high_20nA,ridge,950,3000,low_current_only_source_run_heldout,46 47,0.801518,0.7954312639354164,0.1753028663303279,0.12682035793290852,0.5147368421052632
55,high_20nA,gradient_boosted_trees,950,3000,low_current_only_source_run_heldout,46 47,0.9164279999999999,0.926929015139332,0.11464041507317649,0.07679450011333486,0.5147368421052632
55,high_20nA,mlp,950,3000,low_current_only_source_run_heldout,46 47,0.8962439999999999,0.877784412109783,0.13150744323773386,0.0848885441456533,0.5147368421052632
55,high_20nA,cnn1d,950,3000,low_current_only_source_run_heldout,46 47,0.78342,0.8224539577675917,0.18831532919107144,0.1302514037715344,0.5147368421052632
55,high_20nA,residual_tcn,950,3000,low_current_only_source_run_heldout,46 47,0.7273560000000001,0.7601419936925401,0.22000947535413212,0.14404061487785225,0.5147368421052632
55,high_20nA,shuffled_current_sentinel,950,3000,label_permuted_control,46 47,0.55149,,,,0.5147368421052632
56,high_20nA,ridge,1052,3000,low_current_only_source_run_heldout,46 47,0.765816,0.77435066937239,0.20213805697545825,0.12460962762045365,0.4600760456273764
56,high_20nA,gradient_boosted_trees,1052,3000,low_current_only_source_run_heldout,46 47,0.9058160000000001,0.9193149546187457,0.1251216350172456,0.07722687549381119,0.4600760456273764
56,high_20nA,mlp,1052,3000,low_current_only_source_run_heldout,46 47,0.897048,0.8834945921885198,0.13444698996891435,0.1066073590528739,0.4600760456273764
56,high_20nA,cnn1d,1052,3000,low_current_only_source_run_heldout,46 47,0.674404,0.725486265941967,0.23441359688337307,0.15613464246578596,0.4600760456273764
56,high_20nA,residual_tcn,1052,3000,low_current_only_source_run_heldout,46 47,0.7093,0.7542198083515609,0.22121242046902742,0.14463926815443603,0.4600760456273764
56,high_20nA,shuffled_current_sentinel,1052,3000,label_permuted_control,46 47,0.556944,,,,0.4600760456273764
57,high_20nA,ridge,1100,3000,low_current_only_source_run_heldout,46 47,0.8076700000000001,0.7939130806500398,0.18184962171495891,0.1316935118343026,0.4909090909090909
57,high_20nA,gradient_boosted_trees,1100,3000,low_current_only_source_run_heldout,46 47,0.9111819999999999,0.9206252221799172,0.12371990107283305,0.08159349065700693,0.4909090909090909
57,high_20nA,mlp,1100,3000,low_current_only_source_run_heldout,46 47,0.864984,0.8791906056841158,0.14691495773944124,0.0943972426407193,0.4909090909090909
57,high_20nA,cnn1d,1100,3000,low_current_only_source_run_heldout,46 47,0.686896,0.7446702119155907,0.22825559170130388,0.1518771654553215,0.4909090909090909
57,high_20nA,residual_tcn,1100,3000,low_current_only_source_run_heldout,46 47,0.7270560000000001,0.7779401423697251,0.2129595045014217,0.13987456895253822,0.4909090909090909
57,high_20nA,shuffled_current_sentinel,1100,3000,label_permuted_control,46 47,0.536098,,,,0.4909090909090909
